# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance,EM9_Abundance,EM10_Abundance
1.600000000000000000e+01,1.000000000000000000e+00,2.786208689212799072e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.016050115227699280e-02,9.892489761114120483e-02,6.236084699630737305e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.473058402538299561e-01
1.700000000000000000e+01,1.000000000000000000e+00,3.794955462217330933e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.456813305616378784e-02,1.527116894721984863e-01,6.108785867691040039e-01,0.000000000000000000e+00,2.854456752538681030e-02,0.000000000000000000e+00,1.786818653345108032e-01
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.063572406768798828e-01,5.786694884300231934e-01,6.623402982950210571e-02,1.457400247454643250e-02,0.000000000000000000e+00,1.582205742597579956e-01
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.097598463296890259e-01,5.590832829475402832e-01,6.455570459365844727e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.919298022985458374e-01
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.465249598026275635e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.407567352056503296e-01,3.487659096717834473e-01,3.572488203644752502e-03,2.499879046808928251e-04,0.000000000000000000e+00,1.881772428750991821e-01
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.938052773475646973e-01,0.000000000000000000e+00,8.148364722728729248e-03,4.225184023380279541e-02,4.315614402294158936e-01,7.163087278604507446e-02,8.974479138851165771e-02,0.000000000000000000e+00,1.930157691240310669e-01
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.043145358562469482e-01,6.697071250528097153e-03,2.043389342725276947e-02,0.000000000000000000e+00,5.624055266380310059e-01,3.375534713268280029e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.221591472625732422e-01,2.818655669689178467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,1.387796550989151001e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.812129259109497070e-01,5.650970339775085449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.003440238535404205e-02
0.000000000000000000e+00,2.000000000000000000e+00,9.678512811660766602e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.989230211824178696e-03,4.214915633201599121e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,9.956452846527099609e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,9.919568300247192383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,9.518499970436096191e-01,0.000000000000000000e+00,2.840388100594282150e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.951429530978202820e-02,0.000000000000000000e+00
