# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
5.797000000000000455e+02,2.447856247345307074e-02,6.921594100205983799e-03,4.782071013358011463e-03,2.418842761612315442e-02,1.563678237636840704e-02,5.889978505287005520e-03,2.069383333606648889e-02,2.003685533228407797e-02
5.824930000000000518e+02,2.578209873295177201e-02,7.696771991067740716e-03,5.600324661168111853e-03,2.022302261524624306e-02,1.605951783884588396e-02,4.665368064858543481e-03,1.510159945160322557e-02,2.381658639637611319e-02
5.852839999999999918e+02,3.076696288212711627e-02,1.086579169762338579e-02,7.638296194424180029e-03,1.965570147526855826e-02,1.875663097203341192e-02,5.740478701794237554e-03,1.548404124477801430e-02,1.529337251990413662e-02
5.880750000000000455e+02,3.182311498690482132e-02,1.077992063200780906e-02,6.320363139508853104e-03,2.538200582218985701e-02,1.532757559498984859e-02,6.371540896718638769e-03,1.849507928925639075e-02,1.306770386876979911e-02
5.908640000000000327e+02,2.983768322402367834e-02,7.110261963670766114e-03,5.459907001309040504e-03,1.683711089829120766e-02,1.835717564601594375e-03,5.045977470613931606e-03,1.149367761206819029e-02,6.971052378097204738e-03
5.936530000000000200e+02,2.692746362464774890e-02,3.158324893587948542e-03,4.844488876168715798e-03,9.299633647846847206e-03,-4.265510019746153632e-03,2.497290348884352931e-03,4.664272499092661853e-03,7.083198847300187229e-03
5.964410000000000309e+02,2.332069662763440465e-02,2.089373740473323988e-03,5.332113062987372566e-03,3.604549293181244334e-03,-4.592552351113772351e-03,1.113865918726940785e-03,2.036945485547891899e-06,3.671058608337009720e-03
5.992279999999999518e+02,2.228859569273484303e-02,2.420509691946878643e-03,5.896790321571815895e-03,1.255691458228851490e-02,7.696026088334638124e-03,1.154983035027598928e-03,1.021217148489974701e-03,4.067341626475280865e-03
6.020140000000000100e+02,2.588680703330034985e-02,3.544176165776101624e-03,6.663669133181804663e-03,1.368472569152151715e-02,1.209217278188702560e-02,2.091619304065457131e-03,4.173021007383205007e-03,5.721236501376123114e-03
6.047989999999999782e+02,3.078783688210469036e-02,5.205543302167890511e-03,8.079455058060115019e-03,1.620632258432564907e-02,1.804079814421821748e-02,2.968348258085723793e-03,1.229155936540770114e-02,1.318004512129944059e-02
6.075829999999999700e+02,3.081503027366223196e-02,5.215443953958818352e-03,8.120154607829640006e-03,1.051234329933130145e-02,1.305781803471382091e-02,3.372685805995037471e-03,1.357970448305863276e-02,1.482802562003542220e-02
6.103669999999999618e+02,2.912828948944883034e-02,4.571357681846875687e-03,5.925142756100460449e-03,1.086768694087548309e-02,6.985540341371231782e-03,2.102785708206743494e-03,1.098784304451235448e-02,1.072542746165115919e-02
6.131490000000000009e+02,2.509254515118392731e-02,2.171834528749161733e-03,2.860666340397018722e-03,1.271568820084619314e-02,2.890426063983135389e-03,6.719676999071247554e-04,8.502180157752054282e-03,9.051726432640773423e-03
6.159310000000000400e+02,1.975632910450017543e-02,3.650811876593424484e-04,1.193310341449520078e-03,1.050867965848585259e-02,-2.133178143107105490e-03,-1.110672900587680867e-04,6.371442024565184686e-03,8.222535245444797733e-03
6.187110000000000127e+02,1.614105112081716531e-02,-1.644142069444027264e-03,5.886334037593767086e-04,3.377969591682795404e-03,-9.458539566502555118e-03,8.527591362509801421e-04,-1.952626274513264608e-03,7.547406407259456620e-03
6.214909999999999854e+02,1.823566345391218479e-02,1.227002200619212689e-04,7.835068624937599003e-04,-1.236215506713606439e-04,-1.364749555610716460e-02,1.827386509143156309e-03,-8.053543906016667753e-03,7.680996432651401515e-03
6.242699999999999818e+02,2.193043298728795595e-02,3.446096666373680683e-03,2.056894771628466068e-03,9.145185280671697808e-03,-4.059026233986003616e-03,3.743072855234947597e-03,-3.447504884308909626e-03,1.467497980585778100e-02
