# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance
3.000000000000000000e+01,1.000000000000000000e+00,3.806937932968139648e-01,6.880856305360794067e-02,4.108536243438720703e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.763908505439758301e-01,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00,1.566853374242782593e-01,3.282651007175445557e-01,3.713289201259613037e-01,3.358221426606178284e-02,0.000000000000000000e+00,3.091605380177497864e-02,1.590918898582458496e-01,1.107741240411996841e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.061131358146667480e-01,1.943048387765884399e-01,4.483747780323028564e-01,7.628828287124633789e-02,0.000000000000000000e+00,1.325706839561462402e-01,1.103778257966041565e-01,2.560826018452644348e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.042383462190628052e-01,1.533017903566360474e-01,4.102374613285064697e-01,4.550463706254959106e-02,0.000000000000000000e+00,1.692612916231155396e-01,1.102300062775611877e-01,9.916112571954727173e-02
3.400000000000000000e+01,1.000000000000000000e+00,4.765345901250839233e-02,3.316908776760101318e-01,3.683803379535675049e-01,2.917863614857196808e-02,0.000000000000000000e+00,1.165983825922012329e-01,7.364513725042343140e-02,9.199092537164688110e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.778023108839988708e-02,3.612718284130096436e-01,2.985686361789703369e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.037703096866607666e-01,5.559012666344642639e-02,9.381159394979476929e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.428557956591248512e-03,0.000000000000000000e+00,4.491140842437744141e-01,1.409738510847091675e-01,0.000000000000000000e+00,2.571736574172973633e-01,1.370111852884292603e-01,9.712987393140792847e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.710258051753044128e-02,0.000000000000000000e+00,4.301374554634094238e-01,8.008949458599090576e-02,0.000000000000000000e+00,2.604955732822418213e-01,1.698421388864517212e-01,1.221920996904373169e-01
3.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.242617547512054443e-01,2.190544903278350830e-01,2.135419053956866264e-03,0.000000000000000000e+00,2.622147500514984131e-01,9.335335344076156616e-02,1.360085904598236084e-01
3.900000000000000000e+01,1.000000000000000000e+00,2.652746438980102539e-02,3.181099295616149902e-01,1.979334950447082520e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.332057952880859375e-01,1.132572963833808899e-01,1.574056148529052734e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.094858288764953613e-01,2.272640466690063477e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.188276186585426331e-01,3.271106183528900146e-01,1.949443966150283813e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,3.116650581359863281e-01,2.606365978717803955e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.149359345436096191e-01,1.573768109083175659e-01,2.364149093627929688e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,6.247471570968627930e-01,1.935561597347259521e-01,4.488256946206092834e-02,0.000000000000000000e+00,7.318026572465896606e-02,0.000000000000000000e+00,1.365861594676971436e-01,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,8.660609722137451172e-01,0.000000000000000000e+00,3.730140253901481628e-02,0.000000000000000000e+00,1.306492835283279419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,9.614026546478271484e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.891103506088256836e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,9.877284169197082520e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.829686202108860016e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,2.000000000000000000e+00,9.338844418525695801e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.550734072923660278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,2.000000000000000000e+00,9.183198213577270508e-01,0.000000000000000000e+00,1.472246181219816208e-02,0.000000000000000000e+00,9.020540863275527954e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.000000000000000000e+00,6.111277937889099121e-01,0.000000000000000000e+00,1.226541846990585327e-01,0.000000000000000000e+00,6.963808834552764893e-02,0.000000000000000000e+00,2.862010896205902100e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.000000000000000000e+00,2.542928755283355713e-01,1.038596481084823608e-01,7.322263717651367188e-02,0.000000000000000000e+00,1.007336452603340149e-01,1.787994056940078735e-01,3.788070082664489746e-01,0.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,2.006812244653701782e-01,3.268257975578308105e-01,1.366353686898946762e-02,0.000000000000000000e+00,4.805715009570121765e-02,2.337330430746078491e-01,2.470644414424896240e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.000000000000000000e+00,1.201498359441757202e-01,4.151117801666259766e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.164097115397453308e-01,2.679838836193084717e-01,1.346888393163681030e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,7.746101915836334229e-02,4.685223400592803955e-01,2.786254137754440308e-02,0.000000000000000000e+00,9.654247015714645386e-02,2.858588397502899170e-01,8.887719362974166870e-02,0.000000000000000000e+00
